i,j,median_miles,d_road_km,c_ij,n_trips
0,1,1.4,2.2530759999999996,2.2530759999999996,3228
0,2,1.8,2.896812,2.896812,2661
0,3,2.2,3.5405480000000003,3.5405480000000003,1322
0,4,1.37,2.2047958000000003,2.2047958000000003,2165
0,5,1.39,2.2369825999999997,2.2369825999999997,3440
0,6,2.3,3.7014819999999995,3.7014819999999995,501
0,7,0.9,1.448406,1.448406,3118
0,8,3.7,5.9545580000000005,5.9545580000000005,297
0,9,4.3,6.9201619999999995,6.9201619999999995,415
0,10,3.72,5.9867448,5.9867448,89
1,0,1.26,2.0277684,2.0277684,5083
1,2,0.7,1.1265379999999998,1.1265379999999998,6511
1,3,0.92,1.4805928000000002,1.4805928000000002,4531
1,4,1.15,1.8507409999999997,1.8507409999999997,3204
1,5,1.76,2.8324384,2.8324384,2826
1,6,2.8,4.506151999999999,4.506151999999999,486
1,7,1.0,1.60934,1.60934,7089
1,8,5.005,8.054746699999999,8.054746699999999,976
1,9,5.83,9.3824522,9.3824522,598
1,10,5.525,8.8916035,8.8916035,124
2,0,1.75,2.816345,2.816345,3148
2,1,0.7,1.1265379999999998,1.1265379999999998,5776
2,3,0.67,1.0782578,1.0782578,6287
2,4,0.9,1.448406,1.448406,7857
2,5,1.42,2.2852628,2.2852628,7553
2,6,2.6,4.184284,4.184284,950
2,7,1.22,1.9633947999999999,1.9633947999999999,7097
2,8,5.98,9.623853200000001,9.623853200000001,804
2,9,5.665,9.1169111,9.1169111,944
2,10,5.36,8.6260624,8.6260624,225
3,0,2.0,3.21868,3.21868,2330
3,1,0.9,1.448406,1.448406,4932
3,2,0.65,1.046071,1.046071,7345
3,4,1.1,1.7702740000000001,1.7702740000000001,4476
3,5,1.6,2.5749440000000003,2.5749440000000003,4515
3,6,2.7,4.345218,4.345218,668
3,7,1.5,2.41401,2.41401,5272
3,8,6.2,9.977908000000001,9.977908000000001,546
3,9,5.4,8.690436,8.690436,1000
3,10,5.1,8.207633999999999,8.207633999999999,229
4,0,1.3,2.092142,2.092142,3043
4,1,1.1,1.7702740000000001,1.7702740000000001,3838
4,2,1.0,1.60934,1.60934,7618
4,3,1.2,1.9312079999999998,1.9312079999999998,3467
4,5,0.74,1.1909116,1.1909116,5835
4,6,1.72,2.7680648,2.7680648,828
4,7,0.64,1.0299776,1.0299776,2431
4,8,4.6,7.402963999999999,7.402963999999999,568
4,9,4.8149999999999995,7.7489721,7.7489721,492
4,10,4.6,7.402963999999999,7.402963999999999,144
5,0,1.4,2.2530759999999996,2.2530759999999996,4487
5,1,1.6,2.5749440000000003,2.5749440000000003,3494
5,2,1.5,2.41401,2.41401,6405
5,3,1.7,2.735878,2.735878,3181
5,4,0.8,1.2874720000000002,1.2874720000000002,4469
5,6,1.1,1.7702740000000001,1.7702740000000001,2492
5,7,0.82,1.3196588,1.3196588,5847
5,8,2.91,4.6831794,4.6831794,459
5,9,4.1,6.598293999999999,6.598293999999999,685
5,10,3.0,4.82802,4.82802,239
6,0,2.34,3.7658555999999996,3.7658555999999996,919
6,1,2.7,4.345218,4.345218,651
6,2,2.65,4.2647509999999995,4.2647509999999995,870
6,3,2.7,4.345218,4.345218,522
6,4,1.8,2.896812,2.896812,768
6,5,1.2,1.9312079999999998,1.9312079999999998,2355
6,7,1.9,3.057746,3.057746,1041
6,8,1.815,2.9209521,2.9209521,226
6,9,1.89,3.0416526,3.0416526,321
6,10,1.6,2.5749440000000003,2.5749440000000003,115
7,0,0.9,1.448406,1.448406,5655
7,1,1.1,1.7702740000000001,1.7702740000000001,8500
7,2,1.31,2.1082354,2.1082354,8826
7,3,1.7,2.735878,2.735878,5015
7,4,0.7,1.1265379999999998,1.1265379999999998,3411
7,5,0.9,1.448406,1.448406,7214
7,6,1.91,3.0738393999999998,3.0738393999999998,943
7,8,3.835,6.1718189,6.1718189,676
7,9,4.39,7.0650026,7.0650026,817
7,10,3.4,5.471756,5.471756,204
8,0,3.4,5.471756,5.471756,468
8,1,4.46,7.1776564,7.1776564,922
8,2,5.21,8.3846614,8.3846614,704
8,3,5.875,9.4548725,9.4548725,444
8,4,3.92,6.3086128,6.3086128,504
8,5,2.92,4.6992728,4.6992728,555
8,6,1.8,2.896812,2.896812,215
8,7,3.4,5.471756,5.471756,771
8,9,0.79,1.2713786,1.2713786,471
8,10,0.8,1.2874720000000002,1.2874720000000002,121
9,0,4.0,6.43736,6.43736,517
9,1,5.63,9.0605842,9.0605842,632
9,2,5.58,8.9801172,8.9801172,1067
9,3,5.3,8.529501999999999,8.529501999999999,1125
9,4,4.84,7.7892056,7.7892056,595
9,5,4.2,6.759228,6.759228,804
9,6,2.085,3.3554739,3.3554739,328
9,7,4.0,6.43736,6.43736,720
9,8,0.7,1.1265379999999998,1.1265379999999998,494
9,10,0.46499999999999997,0.7483430999999999,0.7483430999999999,230
10,0,4.0,6.43736,6.43736,101
10,1,5.41,8.7065294,8.7065294,133
10,2,5.3,8.529501999999999,8.529501999999999,200
10,3,5.09,8.1915406,8.1915406,210
10,4,4.545,7.3144503,7.3144503,120
10,5,4.0,6.43736,6.43736,201
10,6,1.84,2.9611856000000003,2.9611856000000003,87
10,7,3.44,5.5361296,5.5361296,136
10,8,0.6799999999999999,1.0943512,1.0943512,124
10,9,0.5,0.80467,0.80467,153
