i,name,lat,lon,location_id
0,Javits Center (Depósito),40.7575,-74.0025,246
1,Times Square,40.758,-73.9855,230
2,Rockefeller Center,40.7587,-73.9787,161
3,Grand Central Terminal,40.75278,-73.97722,162
4,New York Public Library,40.75306,-73.98194,164
5,Union Square,40.7359,-73.9911,234
6,Washington Square Park,40.73083,-73.9975,114
7,Madison Square Garden,40.75056,-73.99361,186
8,One World Trade Center,40.71274,-74.01338,261
9,New York Stock Exchange,40.70693,-74.01125,87
10,South Street Seaport (Pier 17),40.706,-74.0027,209
