iteration,LB,UB,gap,n_cuts
1,30.538850110406738,inf,inf,30
2,30.538850110406738,inf,inf,48
3,30.92592937872822,inf,inf,73
4,30.92592937872822,inf,inf,83
5,30.957896607434954,inf,inf,98
6,30.957896607434954,inf,inf,119
7,31.105828283962616,inf,inf,129
8,31.105828283962616,inf,inf,136
9,31.233029560822928,inf,inf,142
10,31.233029560822928,inf,inf,147
11,31.524975625980616,inf,inf,157
12,31.524975625980616,inf,inf,177
13,32.039958365362864,inf,inf,190
14,32.039958365362864,inf,inf,202
15,32.14806653069493,inf,inf,208
16,32.14806653069493,inf,inf,215
17,32.43268634482669,inf,inf,222
18,32.43268634482669,inf,inf,231
19,32.58047216435899,inf,inf,239
20,32.58047216435899,inf,inf,247
21,32.7635408633593,inf,inf,253
22,32.7635408633593,inf,inf,263
23,32.79779347896965,inf,inf,269
24,32.79779347896965,inf,inf,270
25,33.104583084080666,inf,inf,276
26,33.104583084080666,inf,inf,285
27,33.19921611374763,inf,inf,294
28,33.19921611374763,inf,inf,300
29,33.33083537024575,inf,inf,305
30,33.33083537024575,inf,inf,315
31,33.76884843000004,inf,inf,323
32,33.76884843000004,inf,inf,329
33,33.88996517192884,inf,inf,330
34,33.88996517192884,inf,inf,350
35,33.89741301281698,inf,inf,364
36,33.89741301281698,inf,inf,371
37,34.03889961387276,inf,inf,376
38,34.03889961387276,inf,inf,380
39,34.16699777855432,inf,inf,386
40,34.16699777855432,inf,inf,392
41,34.19008376902388,inf,inf,393
42,34.19008376902388,inf,inf,394
43,34.46588388348475,inf,inf,394
44,34.46588388348475,inf,inf,395
45,34.53635450471074,inf,inf,400
46,34.53635450471074,inf,inf,401
47,34.59891989143267,inf,inf,401
48,34.59891989143267,inf,inf,402
49,34.70132642055218,inf,inf,402
50,34.70132642055218,inf,inf,407
51,34.70740327859523,inf,inf,408
52,34.70740327859523,inf,inf,427
53,34.891418358649794,inf,inf,434
54,34.891418358649794,inf,inf,436
55,34.971073388998924,inf,inf,437
56,34.971073388998924,inf,inf,442
57,35.04745855666665,inf,inf,443
58,35.04745855666665,inf,inf,444
59,35.176449025742016,inf,inf,445
60,35.176449025742016,inf,inf,446
61,35.21655712999998,inf,inf,447
62,35.21655712999998,inf,inf,448
63,35.219332045,inf,inf,449
64,35.219332045,inf,inf,450
65,35.22736040141026,inf,inf,451
66,35.22736040141026,inf,inf,452
67,35.34736014379073,inf,inf,453
68,35.34736014379073,inf,inf,458
69,35.48888985789159,inf,inf,463
70,35.48888985789159,inf,inf,469
71,35.52084121791265,inf,inf,476
72,35.52084121791265,inf,inf,477
73,35.588329313227604,inf,inf,478
74,35.588329313227604,inf,inf,483
75,35.64761161122017,inf,inf,484
76,35.64761161122017,inf,inf,491
77,35.709526830418504,inf,inf,504
78,35.709526830418504,inf,inf,515
79,35.7818894764747,inf,inf,520
80,35.7818894764747,inf,inf,521
81,35.79601725671982,inf,inf,525
82,35.79601725671982,inf,inf,530
83,35.79657496552228,inf,inf,534
84,35.79657496552228,inf,inf,543
85,35.89926991666667,inf,inf,553
86,35.89926991666667,inf,inf,558
87,36.01930981028437,inf,inf,559
88,36.01930981028437,inf,inf,571
89,36.02031733804062,inf,inf,571
90,36.02031733804062,inf,inf,584
91,36.137016347548766,inf,inf,589
92,36.137016347548766,inf,inf,594
93,36.15273097113887,inf,inf,600
94,36.15273097113887,inf,inf,601
95,36.15682203666667,inf,inf,602
96,36.15682203666667,inf,inf,609
97,36.27314670333338,inf,inf,610
98,36.27314670333338,inf,inf,613
99,36.31555504166664,inf,inf,618
100,36.31555504166664,inf,inf,619
101,36.31578359000001,inf,inf,619
102,36.31578359000001,inf,inf,630
103,36.33773402333333,inf,inf,631
104,36.33773402333333,inf,inf,633
105,36.36927606786803,inf,inf,634
106,36.36927606786803,inf,inf,636
107,36.39115298500001,inf,inf,637
108,36.39115298500001,inf,inf,638
109,36.39274140333332,inf,inf,639
110,36.39274140333332,inf,inf,640
111,36.47116584833334,inf,inf,640
112,36.47116584833334,inf,inf,654
113,36.523285858861996,inf,inf,655
114,36.523285858861996,inf,inf,660
115,36.52384588195168,inf,inf,661
116,36.52384588195168,inf,inf,662
117,36.542501757897455,inf,inf,666
118,36.542501757897455,inf,inf,667
119,36.62604857000002,inf,inf,672
120,36.62604857000002,inf,inf,673
121,36.629601198333326,inf,inf,673
122,36.629601198333326,inf,inf,677
123,36.64374453666665,inf,inf,680
124,36.64374453666665,inf,inf,681
125,36.655645822296684,inf,inf,682
126,36.655645822296684,inf,inf,693
127,36.68519359896581,inf,inf,700
128,36.68519359896581,inf,inf,703
129,36.71653778999998,inf,inf,706
130,36.71653778999998,inf,inf,720
131,36.750048716666676,inf,inf,721
132,36.750048716666676,inf,inf,722
133,36.890503553877494,inf,inf,722
134,36.890503553877494,inf,inf,732
135,36.970119523333345,inf,inf,732
136,36.970119523333345,inf,inf,733
137,37.014901397491,inf,inf,734
138,37.014901397491,inf,inf,751
139,37.01578802330411,inf,inf,757
140,37.01578802330411,inf,inf,758
141,37.01655222999999,inf,inf,759
142,37.01655222999999,inf,inf,760
143,37.01751061833332,inf,inf,761
144,37.01751061833332,inf,inf,762
145,37.04112253000001,inf,inf,763
146,37.04112253000001,inf,inf,768
147,37.073310664999994,inf,inf,768
148,37.073310664999994,inf,inf,769
149,37.09376319500005,inf,inf,770
150,37.09376319500005,inf,inf,771
151,37.12223794077212,inf,inf,771
152,37.12223794077212,inf,inf,777
153,37.15220314999998,inf,inf,777
154,37.15220314999998,inf,inf,778
155,37.17030923666666,inf,inf,781
156,37.17030923666666,inf,inf,782
157,37.18702619499998,inf,inf,786
158,37.18702619499998,inf,inf,787
